id,workshop,location
1,dibsi,"Ellicott City, Maryland"
2,dibsi,"Rosario, Argentina"
3,dibsi,"Menlo Park, CA"
4,dibsi,"Fresno, CA USA"
5,dibsi,"Bradford, Pennsylvania"
6,dibsi,"Youngsook You, South Korea"
7,dibsi,"Santiago, Chile"
8,dibsi,"Union Lake, MI USA"
9,dibsi,"Golden, Colorado"
10,dibsi,"Davis, California"
11,dibsi,"Delafield, Wisconsin"
12,dibsi,"Kenilworth, New Jersey"
13,dibsi,Conchi Manzano Davis-Madrid
14,dibsi,"Hohhot, China"
15,dibsi,"Visalia, California"
16,dibsi,"Ewelina, Poland"
17,dibsi,"Fullerton, CA"
